Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
7/22/2015 16:00:00,100.18,7/22/2015 16:00:00,53.96,7/22/2015 16:00:00,81.79,7/22/2015 16:00:00,5.39,7/22/2015 16:00:00,84.15
7/23/2015 16:00:00,100.2,7/23/2015 16:00:00,53.82,7/23/2015 16:00:00,81.14,7/23/2015 16:00:00,5.28,7/23/2015 16:00:00,83.88
7/24/2015 16:00:00,99.15,7/24/2015 16:00:00,53.79,7/24/2015 16:00:00,79.94,7/24/2015 16:00:00,5.05,7/24/2015 16:00:00,83.02
7/27/2015 16:00:00,98.28,7/27/2015 16:00:00,53.95,7/27/2015 16:00:00,79.26,7/27/2015 16:00:00,4.99,7/27/2015 16:00:00,81.4
7/28/2015 16:00:00,99.02,7/28/2015 16:00:00,55.25,7/28/2015 16:00:00,82.48,7/28/2015 16:00:00,5.4,7/28/2015 16:00:00,80.56
7/29/2015 16:00:00,99.73,7/29/2015 16:00:00,54.4,7/29/2015 16:00:00,83.14,7/29/2015 16:00:00,5.55,7/29/2015 16:00:00,80.26
7/30/2015 16:00:00,99.84,7/30/2015 16:00:00,54.2,7/30/2015 16:00:00,83.01,7/30/2015 16:00:00,5.19,7/30/2015 16:00:00,79.96
7/31/2015 16:00:00,100.21,7/31/2015 16:00:00,54.38,7/31/2015 16:00:00,79.21,7/31/2015 16:00:00,5.26,7/31/2015 16:00:00,78.34
8/3/2015 16:00:00,100.02,8/3/2015 16:00:00,54.66,8/3/2015 16:00:00,78.06,8/3/2015 16:00:00,5.1,8/3/2015 16:00:00,77.99
8/4/2015 16:00:00,99.8,8/4/2015 16:00:00,54.92,8/4/2015 16:00:00,77.17,8/4/2015 16:00:00,5.23,8/4/2015 16:00:00,78.87
8/5/2015 16:00:00,100.52,8/5/2015 16:00:00,55.47,8/5/2015 16:00:00,77.17,8/5/2015 16:00:00,5.43,8/5/2015 16:00:00,79.82
8/6/2015 16:00:00,99.07,8/6/2015 16:00:00,55.57,8/6/2015 16:00:00,78.09,8/6/2015 16:00:00,5.58,8/6/2015 16:00:00,78.96
8/7/2015 16:00:00,98.85,8/7/2015 16:00:00,55.49,8/7/2015 16:00:00,76.83,8/7/2015 16:00:00,5.28,8/7/2015 16:00:00,78.82
8/10/2015 16:00:00,99.79,8/10/2015 16:00:00,55.71,8/10/2015 16:00:00,78.75,8/10/2015 16:00:00,5.64,8/10/2015 16:00:00,80.47
8/11/2015 16:00:00,99.01,8/11/2015 16:00:00,55.73,8/11/2015 16:00:00,77.49,8/11/2015 16:00:00,5.32,8/11/2015 16:00:00,77.34
8/12/2015 16:00:00,98.71,8/12/2015 16:00:00,55.74,8/12/2015 16:00:00,78.79,8/12/2015 16:00:00,5.46,8/12/2015 16:00:00,73.38
8/13/2015 16:00:00,98.48,8/13/2015 16:00:00,55.57,8/13/2015 16:00:00,78.65,8/13/2015 16:00:00,5.27,8/13/2015 16:00:00,75.11
8/14/2015 16:00:00,98.81,8/14/2015 16:00:00,55.76,8/14/2015 16:00:00,78.36,8/14/2015 16:00:00,5.23,8/14/2015 16:00:00,74.76
8/17/2015 16:00:00,99.87,8/17/2015 16:00:00,55.67,8/17/2015 16:00:00,78.77,8/17/2015 16:00:00,5.19,8/17/2015 16:00:00,75.19
8/18/2015 16:00:00,99.37,8/18/2015 16:00:00,55.2,8/18/2015 16:00:00,77.9,8/18/2015 16:00:00,5.08,8/18/2015 16:00:00,73.88
8/19/2015 16:00:00,99.31,8/19/2015 16:00:00,54.81,8/19/2015 16:00:00,76.23,8/19/2015 16:00:00,4.85,8/19/2015 16:00:00,73.12
